Id,gratuidade,sentenca
00007802920158152003,False,Improcedente
00007818020138150581,True,Improcedente
00007867020128150021,False,Extinto
00007868120118150061,False,Improcedente
00007898920108150281,False,Nenhuma Sentença
00007914720168150411,False,Extinto
00007918920148150161,False,Procedente
00007924320138150021,True,Improcedente
00007941020108150541,True,Extinto
00007945220098150021,False,Extinto
00007956020118150411,False,Acordo
00007975820158150421,False,Extinto
00008019120168150411,False,Outros
00008021820158150571,False,Improcedente
00008051920128150331,False,Parcialmente
00008060220098150301,False,Nenhuma Sentença
00008067720148150381,False,Procedente
00008072520158150091,False,Outros
00008125020098152001,False,Procedente
00008181820138152001,False,Nenhuma Sentença
00008184820098150161,False,Extinto
00008195120118150391,False,Outros
00008204520088150131,False,Extinto
00008221020118150131,False,Outros
00008224220168150581,False,Improcedente
00008226820128150941,False,Acordo
00008252920128150551,False,Nenhuma Sentença
00008268420138150581,True,Parcialmente
00008286720138150221,False,Outros
00008290820158150601,True,Outros
00008317420148150451,False,Parcialmente
00008325520128150281,False,Nenhuma Sentença
00008332720148150101,False,Parcialmente
00008369520158150731,False,Extinto
00008426320148150141,False,Nenhuma Sentença
00008438720098150411,False,Extinto
00008457720128150241,False,Improcedente
00008464120128150151,False,Outros
00008468820138150221,False,Outros
00008490420148152001,False,Improcedente
00008503220158150391,False,Nenhuma Sentença
00008510920148150211,False,Outros
00008572420058150181,False,Acordo
00008613820168150161,False,Improcedente
00008644720038150161,False,Extinto
00008658320158150881,False,Nenhuma Sentença
00008666220158150301,False,Procedente
00008677020128151071,False,Nenhuma Sentença
00008683220158150301,False,Improcedente
00008685420108150221,False,Outros
00008713820098152001,True,Acordo
00008755320138150411,False,Nenhuma Sentença
00008767820148152003,False,Improcedente
00008769420118150221,True,Outros
00008781020148150981,False,Parcialmente
00008781420158150451,False,Improcedente
00008782020158152001,False,Procedente
00008835220158150381,False,Nenhuma Sentença
00008852020158150511,False,Improcedente
00008860220118150331,False,Parcialmente
00008877920158152001,True,Nenhuma Sentença
00008883420088150021,False,Nenhuma Sentença
00008886620148150201,False,Improcedente
00008927920118150631,False,Outros
00008930820158150281,False,Extinto
00009003620138150421,True,Outros
